Endpoint,N,Metric(s),Best baseline/event-level,Best geometry/sensitivity,Best overall,Interpretation
BRCA-pathway mutated,"10,224",AUROC,,COSMIC NNLS exposures / Source model (AUROC 0.818),COSMIC NNLS exposures / Source model (AUROC 0.818),Best result comes from supplementary geometry/sensitivity analyses.
Ever smoker,"2,798",AUROC; Balanced accuracy,Signatures + MAF stack / XGBoost (AUROC 0.781),COSMIC NNLS exposures / Source model (AUROC 0.778),Signatures + MAF stack / XGBoost (AUROC 0.781),Best baseline/event-level result exceeds sensitivity result by 0.002.
HRD LOH,772,Spearman r,Signatures + MAF stack / XGBoost (Spearman r 0.674),UGA geometry / Source model (Spearman r 0.601),Signatures + MAF stack / XGBoost (Spearman r 0.674),Best baseline/event-level result exceeds sensitivity result by 0.073.
HRD LST,772,Spearman r,Mutational signatures / Source model (Spearman r 0.737),UGA geometry / Source model (Spearman r 0.749),UGA geometry / Source model (Spearman r 0.749),Best sensitivity result exceeds baseline by 0.013.
HRD TAI,772,Spearman r,Signatures + MAF stack / XGBoost (Spearman r 0.759),UGA geometry / Source model (Spearman r 0.721),Signatures + MAF stack / XGBoost (Spearman r 0.759),Best baseline/event-level result exceeds sensitivity result by 0.038.
HRD24 high/low,772,AUROC,Mutational signatures / Source model (AUROC 0.883),UGA geometry / Source model (AUROC 0.898),UGA geometry / Source model (AUROC 0.898),Best sensitivity result exceeds baseline by 0.015.
HRD42 high/low,772,AUROC,Mutational signatures / Source model (AUROC 0.963),UGA geometry / Source model (AUROC 0.933),Mutational signatures / Source model (AUROC 0.963),Best baseline/event-level result exceeds sensitivity result by 0.030.
High stage,"6,404",AUROC; Balanced accuracy,Signatures + MAF stack / XGBoost (AUROC 0.639),COSMIC NNLS exposures / Source model (AUROC 0.630),Signatures + MAF stack / XGBoost (AUROC 0.639),Best baseline/event-level result exceeds sensitivity result by 0.009.
High tumor purity,"9,591",AUROC; Balanced accuracy,Signatures + MAF stack / XGBoost (AUROC 0.923),COSMIC NNLS exposures / Source model (AUROC 0.641),Signatures + MAF stack / XGBoost (AUROC 0.923),Best baseline/event-level result exceeds sensitivity result by 0.282.
LUAD KMT2C mutated,515,AUROC,Event-level MAF stack / XGBoost (AUROC 0.720),UGA geometry / Elastic net (AUROC 0.746),UGA geometry / Elastic net (AUROC 0.746),Best sensitivity result exceeds baseline by 0.025.
Low-burden Kucab,259,Balanced accuracy,Mutational signatures / Source model (Balanced accuracy 0.239),Mechanistic controls / Source model (Balanced accuracy 0.255),Mechanistic controls / Source model (Balanced accuracy 0.255),Best sensitivity result exceeds baseline by 0.015.
MMR-pathway mutated,"10,224",AUROC,,COSMIC NNLS exposures / Source model (AUROC 0.860),COSMIC NNLS exposures / Source model (AUROC 0.860),Best result comes from supplementary geometry/sensitivity analyses.
Original Kucab,259,Balanced accuracy,Mutational signatures / Source model (Balanced accuracy 0.301),Mechanistic controls / Source model (Balanced accuracy 0.303),Mechanistic controls / Source model (Balanced accuracy 0.303),Best sensitivity result exceeds baseline by 0.002.
PARPi7,772,Spearman r,Event-level MAF stack / XGBoost (Spearman r 0.290),UGA geometry / Source model (Spearman r 0.286),Event-level MAF stack / XGBoost (Spearman r 0.290),Best baseline/event-level result exceeds sensitivity result by 0.005.
PARPi7 binary,772,AUROC,Mutational burden / Source model (AUROC 0.754),UGA geometry / Source model (AUROC 0.755),UGA geometry / Source model (AUROC 0.755),Best sensitivity result exceeds baseline by 0.002.
POLE/POLD1 mutated,"10,224",AUROC,,COSMIC NNLS exposures / Source model (AUROC 0.854),COSMIC NNLS exposures / Source model (AUROC 0.854),Best result comes from supplementary geometry/sensitivity analyses.
eCARD,772,Spearman r,Signatures + MAF stack / XGBoost (Spearman r 0.542),UGA geometry / Source model (Spearman r 0.415),Signatures + MAF stack / XGBoost (Spearman r 0.542),Best baseline/event-level result exceeds sensitivity result by 0.127.
