Source,Target,Coordinate_System,Source_Process,Nearest_Process,True_Process_Rank,True_Process_Distance,Nearest_Distance
SBS,DBS,UGA full 48D,1,1,1,1.5562030609602815,1.5562030609602815
SBS,DBS,UGA full 48D,2,2,1,2.089178793942216,2.089178793942216
SBS,DBS,UGA full 48D,3,3,1,1.5514267919915172,1.5514267919915172
SBS,DBS,UGA full 48D,4,4,1,1.701011483240399,1.701011483240399
SBS,DBS,UGA full 48D,5,5,1,0.9003615986171681,0.9003615986171681
SBS,DBS,UGA full 48D,6,6,1,2.039596800212732,2.039596800212732
SBS,DBS,UGA full 48D,7,7,1,2.3355484463942395,2.3355484463942395
SBS,DBS,UGA full 48D,8,8,1,1.3875578165304954,1.3875578165304954
SBS,DBS,UGA full 48D,9,9,1,1.5362552947275763,1.5362552947275763
SBS,DBS,UGA full 48D,10,10,1,1.9518995706450413,1.9518995706450413
SBS,DBS,UGA full 48D,11,11,1,0.859988814072938,0.859988814072938
SBS,DBS,UGA full 48D,12,12,1,1.8269522287900666,1.8269522287900666
SBS,DBS,UGA clean context 40D,1,1,1,0.02310593641297971,0.02310593641297971
SBS,DBS,UGA clean context 40D,2,2,1,0.02428276945823897,0.02428276945823897
SBS,DBS,UGA clean context 40D,3,3,1,0.021666136886932707,0.021666136886932707
SBS,DBS,UGA clean context 40D,4,4,1,0.02104226364971539,0.02104226364971539
SBS,DBS,UGA clean context 40D,5,5,1,0.023764686629082956,0.023764686629082956
SBS,DBS,UGA clean context 40D,6,6,1,0.02075675733843347,0.02075675733843347
SBS,DBS,UGA clean context 40D,7,7,1,0.022325910529959036,0.022325910529959036
SBS,DBS,UGA clean context 40D,8,8,1,0.023752859766929944,0.023752859766929944
SBS,DBS,UGA clean context 40D,9,9,1,0.026402479222431212,0.026402479222431212
SBS,DBS,UGA clean context 40D,10,10,1,0.020736839897284736,0.020736839897284736
SBS,DBS,UGA clean context 40D,11,11,1,0.02520592872669462,0.02520592872669462
SBS,DBS,UGA clean context 40D,12,12,1,0.021823484204175885,0.021823484204175885
SBS,DBS,UGA payload 8D,1,11,5,1.5560315172401324,0.8595430844638253
SBS,DBS,UGA payload 8D,2,11,10,2.0890376684409713,1.1077528142688968
SBS,DBS,UGA payload 8D,3,11,4,1.5512754975894796,0.8595071045721014
SBS,DBS,UGA payload 8D,4,11,5,1.7008813272113368,1.3765420083769495
SBS,DBS,UGA payload 8D,5,5,1,0.9000479142433941,0.9000479142433941
SBS,DBS,UGA payload 8D,6,11,10,2.039491177834023,0.8685336935660608
SBS,DBS,UGA payload 8D,7,11,12,2.3354417353412082,1.3141122510137644
SBS,DBS,UGA payload 8D,8,11,2,1.3873544953860095,1.3066514644643294
SBS,DBS,UGA payload 8D,9,11,4,1.5360283980673735,1.3769035568835886
SBS,DBS,UGA payload 8D,10,11,9,1.9517894141928764,1.112296648700671
SBS,DBS,UGA payload 8D,11,11,1,0.8596193468551084,0.8596193468551084
SBS,DBS,UGA payload 8D,12,11,6,1.826821880156405,1.4471526103649022
SBS,ID,UGA full 48D,1,1,1,0.7281090191734017,0.7281090191734017
SBS,ID,UGA full 48D,2,2,1,1.5927718030304672,1.5927718030304672
SBS,ID,UGA full 48D,3,3,1,1.1849616794724553,1.1849616794724553
SBS,ID,UGA full 48D,4,4,1,0.7585349733434339,0.7585349733434339
SBS,ID,UGA full 48D,5,5,1,1.9180136591521486,1.9180136591521486
SBS,ID,UGA full 48D,6,6,1,1.272901195908565,1.272901195908565
SBS,ID,UGA full 48D,7,7,1,1.2699969805391318,1.2699969805391318
SBS,ID,UGA full 48D,8,8,1,1.8593859201360003,1.8593859201360003
SBS,ID,UGA full 48D,9,9,1,1.8670272654456215,1.8670272654456215
SBS,ID,UGA full 48D,10,10,1,1.5811889762177058,1.5811889762177058
SBS,ID,UGA full 48D,11,11,1,1.2757851576950725,1.2757851576950725
SBS,ID,UGA full 48D,12,12,1,1.3841690767597183,1.3841690767597183
SBS,ID,UGA clean context 40D,1,1,1,0.030853425811366873,0.030853425811366873
SBS,ID,UGA clean context 40D,2,2,1,0.02479136079863173,0.02479136079863173
SBS,ID,UGA clean context 40D,3,3,1,0.02423507464348331,0.02423507464348331
SBS,ID,UGA clean context 40D,4,4,1,0.02232220848696512,0.02232220848696512
SBS,ID,UGA clean context 40D,5,5,1,0.02851880632231278,0.02851880632231278
SBS,ID,UGA clean context 40D,6,6,1,0.022417525611571308,0.022417525611571308
SBS,ID,UGA clean context 40D,7,7,1,0.019949523078870292,0.019949523078870292
SBS,ID,UGA clean context 40D,8,8,1,0.021531449226309056,0.021531449226309056
SBS,ID,UGA clean context 40D,9,9,1,0.021658506621900477,0.021658506621900477
SBS,ID,UGA clean context 40D,10,10,1,0.0173138267012617,0.0173138267012617
SBS,ID,UGA clean context 40D,11,11,1,0.020434131227146993,0.020434131227146993
SBS,ID,UGA clean context 40D,12,12,1,0.025943995626944293,0.025943995626944293
SBS,ID,UGA payload 8D,1,1,1,0.7274550226078279,0.7274550226078279
SBS,ID,UGA payload 8D,2,1,8,1.592578853607782,0.22794815997582354
SBS,ID,UGA payload 8D,3,1,3,1.1847138232396914,0.7182479831431873
SBS,ID,UGA payload 8D,4,1,2,0.7582064526191982,0.7461095791720084
SBS,ID,UGA payload 8D,5,7,11,1.917801625398249,0.24842046468181173
SBS,ID,UGA payload 8D,6,1,6,1.2727037790039397,0.726764276811668
SBS,ID,UGA payload 8D,7,1,4,1.269840284093806,0.7420608783027428
SBS,ID,UGA payload 8D,8,1,9,1.859261250253502,0.7324481534693505
SBS,ID,UGA payload 8D,9,1,10,1.8669016361362654,0.7476079982238448
SBS,ID,UGA payload 8D,10,1,7,1.5810941812293646,0.22468291707012458
SBS,ID,UGA payload 8D,11,1,5,1.2756215014164793,0.7288230748131985
SBS,ID,UGA payload 8D,12,10,8,1.3839259164235491,0.8583657353000469
DBS,SBS,UGA full 48D,1,1,1,1.5562030609602815,1.5562030609602815
DBS,SBS,UGA full 48D,2,2,1,2.089178793942216,2.089178793942216
DBS,SBS,UGA full 48D,3,3,1,1.5514267919915172,1.5514267919915172
DBS,SBS,UGA full 48D,4,4,1,1.701011483240399,1.701011483240399
DBS,SBS,UGA full 48D,5,5,1,0.9003615986171681,0.9003615986171681
DBS,SBS,UGA full 48D,6,6,1,2.039596800212732,2.039596800212732
DBS,SBS,UGA full 48D,7,7,1,2.3355484463942395,2.3355484463942395
DBS,SBS,UGA full 48D,8,8,1,1.3875578165304954,1.3875578165304954
DBS,SBS,UGA full 48D,9,9,1,1.5362552947275763,1.5362552947275763
DBS,SBS,UGA full 48D,10,10,1,1.9518995706450413,1.9518995706450413
DBS,SBS,UGA full 48D,11,11,1,0.859988814072938,0.859988814072938
DBS,SBS,UGA full 48D,12,12,1,1.8269522287900666,1.8269522287900666
DBS,SBS,UGA clean context 40D,1,1,1,0.02310593641297971,0.02310593641297971
DBS,SBS,UGA clean context 40D,2,2,1,0.02428276945823897,0.02428276945823897
DBS,SBS,UGA clean context 40D,3,3,1,0.021666136886932707,0.021666136886932707
DBS,SBS,UGA clean context 40D,4,4,1,0.02104226364971539,0.02104226364971539
DBS,SBS,UGA clean context 40D,5,5,1,0.023764686629082956,0.023764686629082956
DBS,SBS,UGA clean context 40D,6,6,1,0.02075675733843347,0.02075675733843347
DBS,SBS,UGA clean context 40D,7,7,1,0.022325910529959036,0.022325910529959036
DBS,SBS,UGA clean context 40D,8,8,1,0.023752859766929944,0.023752859766929944
DBS,SBS,UGA clean context 40D,9,9,1,0.026402479222431212,0.026402479222431212
DBS,SBS,UGA clean context 40D,10,10,1,0.020736839897284736,0.020736839897284736
DBS,SBS,UGA clean context 40D,11,11,1,0.02520592872669462,0.02520592872669462
DBS,SBS,UGA clean context 40D,12,12,1,0.021823484204175885,0.021823484204175885
DBS,SBS,UGA payload 8D,1,6,3,1.5560315172401324,1.5522288853119228
DBS,SBS,UGA payload 8D,2,12,8,2.0890376684409713,1.7616625505892893
DBS,SBS,UGA payload 8D,3,6,4,1.5512754975894796,1.5462522967773584
DBS,SBS,UGA payload 8D,4,8,4,1.7008813272113368,1.6963478514319672
DBS,SBS,UGA payload 8D,5,5,1,0.9000479142433941,0.9000479142433941
DBS,SBS,UGA payload 8D,6,12,8,2.039491177834023,1.5499995947746739
DBS,SBS,UGA payload 8D,7,12,10,2.3354417353412082,2.0141103320702336
DBS,SBS,UGA payload 8D,8,9,4,1.3873544953860095,1.3824130657287355
DBS,SBS,UGA payload 8D,9,5,7,1.5360283980673735,1.0168272808143302
DBS,SBS,UGA payload 8D,10,3,11,1.9517894141928764,1.7680654039733013
DBS,SBS,UGA payload 8D,11,3,3,0.8596193468551084,0.8595071045721014
DBS,SBS,UGA payload 8D,12,5,4,1.826821880156405,1.54884992790572
DBS,ID,UGA full 48D,1,1,1,1.7384100173519916,1.7384100173519916
DBS,ID,UGA full 48D,2,2,1,1.9334515105897154,1.9334515105897154
DBS,ID,UGA full 48D,3,3,1,1.509313006657703,1.509313006657703
DBS,ID,UGA full 48D,4,4,1,1.8203940087539943,1.8203940087539943
DBS,ID,UGA full 48D,5,5,1,1.571646281151663,1.571646281151663
DBS,ID,UGA full 48D,6,6,1,1.973877796044884,1.973877796044884
DBS,ID,UGA full 48D,7,7,1,1.9312433540499196,1.9312433540499196
DBS,ID,UGA full 48D,8,8,1,2.333168377482849,2.333168377482849
DBS,ID,UGA full 48D,9,9,1,1.89584256765226,1.89584256765226
DBS,ID,UGA full 48D,10,10,1,1.583814090851627,1.583814090851627
DBS,ID,UGA full 48D,11,11,1,1.5043072703528235,1.5043072703528235
DBS,ID,UGA full 48D,12,12,1,1.9829560369882382,1.9829560369882382
DBS,ID,UGA clean context 40D,1,1,1,0.02719382525926435,0.02719382525926435
DBS,ID,UGA clean context 40D,2,2,1,0.02090750982164422,0.02090750982164422
DBS,ID,UGA clean context 40D,3,3,1,0.02325496481248156,0.02325496481248156
DBS,ID,UGA clean context 40D,4,4,1,0.020260289702839294,0.020260289702839294
DBS,ID,UGA clean context 40D,5,5,1,0.02167910217408411,0.02167910217408411
DBS,ID,UGA clean context 40D,6,6,1,0.02466100746636681,0.02466100746636681
DBS,ID,UGA clean context 40D,7,7,1,0.02286792838803571,0.02286792838803571
DBS,ID,UGA clean context 40D,8,8,1,0.018426534945090566,0.018426534945090566
DBS,ID,UGA clean context 40D,9,9,1,0.022766511581416602,0.022766511581416602
DBS,ID,UGA clean context 40D,10,10,1,0.01814541810890859,0.01814541810890859
DBS,ID,UGA clean context 40D,11,11,1,0.021388187053945143,0.021388187053945143
DBS,ID,UGA clean context 40D,12,12,1,0.021372725339313885,0.021372725339313885
DBS,ID,UGA payload 8D,1,3,6,1.7381973087936595,1.5800006486032774
DBS,ID,UGA payload 8D,2,3,10,1.9333384648929712,1.7881926699305608
DBS,ID,UGA payload 8D,3,11,2,1.509133843858021,1.500264263223027
DBS,ID,UGA payload 8D,4,5,6,1.8202812606211696,1.5295149341815193
DBS,ID,UGA payload 8D,5,3,7,1.571496754558143,0.8420616573094536
DBS,ID,UGA payload 8D,6,8,6,1.9737237366029097,1.5189595503839066
DBS,ID,UGA payload 8D,7,5,6,1.9311079592848306,1.5197091500765687
DBS,ID,UGA payload 8D,8,11,11,2.333095613234886,1.2795284384465195
DBS,ID,UGA payload 8D,9,7,12,1.8957058651786483,0.9909138615398089
DBS,ID,UGA payload 8D,10,5,3,1.5837101433601475,1.1836560813886206
DBS,ID,UGA payload 8D,11,4,5,1.5041552144279888,1.1076343639927035
DBS,ID,UGA payload 8D,12,7,7,1.9828408537347795,1.5428031052236066
ID,SBS,UGA full 48D,1,1,1,0.7281090191734017,0.7281090191734017
ID,SBS,UGA full 48D,2,2,1,1.5927718030304672,1.5927718030304672
ID,SBS,UGA full 48D,3,3,1,1.1849616794724553,1.1849616794724553
ID,SBS,UGA full 48D,4,4,1,0.7585349733434339,0.7585349733434339
ID,SBS,UGA full 48D,5,5,1,1.9180136591521486,1.9180136591521486
ID,SBS,UGA full 48D,6,6,1,1.272901195908565,1.272901195908565
ID,SBS,UGA full 48D,7,7,1,1.2699969805391318,1.2699969805391318
ID,SBS,UGA full 48D,8,8,1,1.8593859201360003,1.8593859201360003
ID,SBS,UGA full 48D,9,9,1,1.8670272654456215,1.8670272654456215
ID,SBS,UGA full 48D,10,10,1,1.5811889762177058,1.5811889762177058
ID,SBS,UGA full 48D,11,11,1,1.2757851576950725,1.2757851576950725
ID,SBS,UGA full 48D,12,12,1,1.3841690767597183,1.3841690767597183
ID,SBS,UGA clean context 40D,1,1,1,0.030853425811366873,0.030853425811366873
ID,SBS,UGA clean context 40D,2,2,1,0.02479136079863173,0.02479136079863173
ID,SBS,UGA clean context 40D,3,3,1,0.02423507464348331,0.02423507464348331
ID,SBS,UGA clean context 40D,4,4,1,0.02232220848696512,0.02232220848696512
ID,SBS,UGA clean context 40D,5,5,1,0.02851880632231278,0.02851880632231278
ID,SBS,UGA clean context 40D,6,6,1,0.022417525611571308,0.022417525611571308
ID,SBS,UGA clean context 40D,7,7,1,0.019949523078870292,0.019949523078870292
ID,SBS,UGA clean context 40D,8,8,1,0.021531449226309056,0.021531449226309056
ID,SBS,UGA clean context 40D,9,9,1,0.021658506621900477,0.021658506621900477
ID,SBS,UGA clean context 40D,10,10,1,0.0173138267012617,0.0173138267012617
ID,SBS,UGA clean context 40D,11,11,1,0.020434131227146993,0.020434131227146993
ID,SBS,UGA clean context 40D,12,12,1,0.025943995626944293,0.025943995626944293
ID,SBS,UGA payload 8D,1,10,5,0.7274550226078279,0.22468291707012458
ID,SBS,UGA payload 8D,2,12,11,1.592578853607782,0.8633890172114319
ID,SBS,UGA payload 8D,3,10,4,1.1847138232396914,0.8619712560642563
ID,SBS,UGA payload 8D,4,10,9,0.7582064526191982,0.26565471904723637
ID,SBS,UGA payload 8D,5,10,11,1.917801625398249,1.6719014562284593
ID,SBS,UGA payload 8D,6,12,3,1.2727037790039397,1.1872171642295786
ID,SBS,UGA payload 8D,7,5,10,1.269840284093806,0.24842046468181173
ID,SBS,UGA payload 8D,8,12,7,1.859261250253502,1.3787069040491264
ID,SBS,UGA payload 8D,9,10,6,1.8669016361362654,1.6762341894410935
ID,SBS,UGA payload 8D,10,12,12,1.5810941812293646,0.8583657353000469
ID,SBS,UGA payload 8D,11,10,8,1.2756215014164793,0.9745547828590183
ID,SBS,UGA payload 8D,12,12,1,1.3839259164235491,1.3839259164235491
ID,DBS,UGA full 48D,1,1,1,1.7384100173519916,1.7384100173519916
ID,DBS,UGA full 48D,2,2,1,1.9334515105897154,1.9334515105897154
ID,DBS,UGA full 48D,3,3,1,1.509313006657703,1.509313006657703
ID,DBS,UGA full 48D,4,4,1,1.8203940087539943,1.8203940087539943
ID,DBS,UGA full 48D,5,5,1,1.571646281151663,1.571646281151663
ID,DBS,UGA full 48D,6,6,1,1.973877796044884,1.973877796044884
ID,DBS,UGA full 48D,7,7,1,1.9312433540499196,1.9312433540499196
ID,DBS,UGA full 48D,8,8,1,2.333168377482849,2.333168377482849
ID,DBS,UGA full 48D,9,9,1,1.89584256765226,1.89584256765226
ID,DBS,UGA full 48D,10,10,1,1.583814090851627,1.583814090851627
ID,DBS,UGA full 48D,11,11,1,1.5043072703528235,1.5043072703528235
ID,DBS,UGA full 48D,12,12,1,1.9829560369882382,1.9829560369882382
ID,DBS,UGA clean context 40D,1,1,1,0.02719382525926435,0.02719382525926435
ID,DBS,UGA clean context 40D,2,2,1,0.02090750982164422,0.02090750982164422
ID,DBS,UGA clean context 40D,3,3,1,0.02325496481248156,0.02325496481248156
ID,DBS,UGA clean context 40D,4,4,1,0.020260289702839294,0.020260289702839294
ID,DBS,UGA clean context 40D,5,5,1,0.02167910217408411,0.02167910217408411
ID,DBS,UGA clean context 40D,6,6,1,0.02466100746636681,0.02466100746636681
ID,DBS,UGA clean context 40D,7,7,1,0.02286792838803571,0.02286792838803571
ID,DBS,UGA clean context 40D,8,8,1,0.018426534945090566,0.018426534945090566
ID,DBS,UGA clean context 40D,9,9,1,0.022766511581416602,0.022766511581416602
ID,DBS,UGA clean context 40D,10,10,1,0.01814541810890859,0.01814541810890859
ID,DBS,UGA clean context 40D,11,11,1,0.021388187053945143,0.021388187053945143
ID,DBS,UGA clean context 40D,12,12,1,0.021372725339313885,0.021372725339313885
ID,DBS,UGA payload 8D,1,11,6,1.7381973087936595,1.1158050571761333
ID,DBS,UGA payload 8D,2,10,7,1.9333384648929712,1.5863786610385135
ID,DBS,UGA payload 8D,3,5,5,1.509133843858021,0.8420616573094536
ID,DBS,UGA payload 8D,4,11,8,1.8202812606211696,1.1076343639927035
ID,DBS,UGA payload 8D,5,10,4,1.571496754558143,1.1836560813886206
ID,DBS,UGA payload 8D,6,5,8,1.9737237366029097,1.4541898201603018
ID,DBS,UGA payload 8D,7,5,7,1.9311079592848306,0.8841848839981992
ID,DBS,UGA payload 8D,8,6,11,2.333095613234886,1.5189595503839066
ID,DBS,UGA payload 8D,9,10,9,1.8957058651786483,1.1873434198639479
ID,DBS,UGA payload 8D,10,10,1,1.5837101433601475,1.5837101433601475
ID,DBS,UGA payload 8D,11,5,4,1.5041552144279888,0.964117478524632
ID,DBS,UGA payload 8D,12,6,6,1.9828408537347795,1.5227022738789198
