Modality,Method,N,Median_Burden,Mean_MAE,Median_MAE,Mean_Cosine,Top1_Process_Accuracy,Mean_Modal_Mass_Error
DBS,Separate categorical NNLS,520,63.0,0.007857536885500602,0.006135380140056879,0.9942170350448224,0.9615384615384616,
DBS,Separate UGA NNLS,520,63.0,0.0040040062908545644,0.0036148949064207436,0.9995056674510682,0.9884615384615385,
DBS,Naive pooled UGA NNLS,520,63.0,0.03158998116389189,0.025507409621467112,0.9326114774227171,0.8653846153846154,0.003694826241574463
ID,Separate categorical NNLS,520,93.0,0.0055039858484764465,0.004485502162972616,0.9983192484016987,0.9711538461538461,
ID,Separate UGA NNLS,520,93.0,0.0036502324208350484,0.003347216161939122,0.999611382715176,0.9942307692307693,
ID,Naive pooled UGA NNLS,520,93.0,0.030018029908135874,0.025059579879973357,0.9437695875448677,0.8442307692307692,0.007683722664418826
SBS,Separate categorical NNLS,520,1160.5,0.0045683863313055574,0.0033490419939926643,0.9987571932155526,0.9769230769230769,
SBS,Separate UGA NNLS,520,1160.5,0.0013401761968593142,0.0012925163697992668,0.9999606186120391,1.0,
SBS,Naive pooled UGA NNLS,520,1160.5,0.003531562105137411,0.0029471550299162014,0.9994229870072603,0.9788461538461538,0.0073448402655364245
